Country,lon,lat
Zimbabwe,29.851013379676168,-18.997046809067218
Zambia,27.808581875598183,-13.455525493308903
Yemen,47.567787255202546,15.91728068185997
Vietnam,106.34650781487963,16.54429751476791
Venezuela,-66.17054441322725,7.122274077470279
Vatican,12.433871744148018,41.90174986291686
Vanuatu,167.67534594617393,-16.216969032855616
Uzbekistan,63.303092552350606,41.775400752503636
Uruguay,-56.025205737611664,-32.79134091244499
Federated States of Micronesia,153.32271851977063,7.530892089578006
Marshall Islands,170.3425825338775,7.00279122625452
Northern Mariana Islands,145.61809472646888,15.817113996134827
United States Virgin Islands,-64.80287132247226,17.954567860767327
Guam,144.76785188051147,13.441629384256666
American Samoa,-170.7180188762607,-14.304466317458697
Puerto Rico,-66.47306823110844,18.228579936088867
United States of America,-103.62956280974424,44.74373159082126
South Georgia and the Islands,-36.48742477585991,-54.46339255850537
British Indian Ocean Territory,72.44541071632787,-7.33059326070352
Saint Helena,-9.674197527779427,-12.379242477469317
Pitcairn Islands,-128.31704433549098,-24.365003168102763
Anguilla,-63.064999686760714,18.22397259712944
Falkland Islands,-59.34988334557831,-51.74644131596165
Cayman Islands,-80.91349419009491,19.4298043928056
Bermuda,-64.75460022773382,32.31367806965704
British Virgin Islands,-64.4716169707363,18.52581269511758
Turks and Caicos Islands,-71.97390656305255,21.83062186799524
Montserrat,-62.18518502900228,16.73941241603232
Jersey,-2.126890720098209,49.21838745399699
Guernsey,-2.572404405927173,49.46810377684474
Isle of Man,-4.539038534130213,54.22409591387426
United Kingdom,-2.758142056330439,54.01164974612877
United Arab Emirates,54.29266977356909,23.905320327121004
Ukraine,31.315583848435377,49.19560823173951
Uganda,32.36866536956964,1.274231547393379
Turkmenistan,59.44642235988091,39.12547070992735
Turkey,35.1728012164006,39.13701331043797
Tunisia,9.556128801622371,34.088955486452505
Trinidad and Tobago,-61.26590185083753,10.45717257448732
Tonga,-174.80193119751326,-20.420512756907403
Togo,0.963859659570673,8.520779784822718
East Timor,125.84510782838684,-8.829321657923044
Thailand,101.00064849829911,15.082584951953617
United Republic of Tanzania,34.80181064134596,-6.268247790104617
Tajikistan,71.02685401923208,38.536549030717254
Taiwan,120.95146559018619,23.750204208294114
Syria,38.48446214064039,35.01677732587028
Switzerland,8.206281998124156,46.79889642719673
Sweden,16.26695018056198,62.38365607424293
eSwatini,31.48186961105198,-26.557546489339305
Suriname,-55.91243117427252,4.129848287854486
South Sudan,30.2513338314292,7.3086969454213575
Sudan,29.90746524572068,15.967966109559557
Sri Lanka,80.70163201858917,7.611038184516178
Spain,-3.703536252532036,40.20765398401546
South Korea,127.83477114816299,36.373367227329716
South Africa,25.193438224147595,-28.974208514441116
Somalia,45.67929283895279,4.7394062218941135
Somaliland,46.25301660804088,9.735702368865011
Solomon Islands,159.62234251597064,-8.923117165009065
Slovakia,19.468971774212562,48.711280810901265
Slovenia,14.800523261488326,46.11589047659146
Singapore,103.817255835084,1.358762240040157
Sierra Leone,-11.792611849827932,8.56249232471683
Seychelles,55.47602781845583,-4.6609897523017825
Republic of Serbia,20.806606289063094,44.211319830808264
Senegal,-14.469447947453547,14.364811093175101
